,nft_address,total_transactions,total_tokens,risky_transactions,risky_tokens,risky_transaction_ratio,risky_token_ratio
49,0x01A7abd1e371D7a43ebBC1F17CD2660f1D77287b,58,50,8.0,4.0,0.13793103448275862,0.08
50,0x01A815D2f8032EE2E95753F41084cB570Ec006d5,2,2,0.0,0.0,0.0,0.0
51,0x01Ba93514e5Eb642Ec63E95EF7787b0eDd403ADd,539,351,13.0,6.0,0.02411873840445269,0.017094017094017096
52,0x01FdA6ab09d40E07dA782637198f42a28ABD2663,1,1,0.0,0.0,0.0,0.0
53,0x01a5E3268E3987f0EE5e6Eb12fe63fa2AF992D83,732,597,4.0,2.0,0.00546448087431694,0.0033500837520938024
54,0x01b88dfD03aE3396197ffc9e392bC78973D76129,3,3,0.0,0.0,0.0,0.0
55,0x01cc7Ae1962d3A354D6D2BF78f2c711dFfF9199C,2,1,0.0,0.0,0.0,0.0
56,0x01d0E21198Ba6576fE27393A9e57fF1c88DF0967,3,3,0.0,0.0,0.0,0.0
57,0x01d7EE6Bf77e0Fd0ba8940ca726146C52B80d7D1,2,2,0.0,0.0,0.0,0.0
58,0x01eD068115ba99b94c65c7791D4Ac5Dee1253835,2,2,0.0,0.0,0.0,0.0
59,0x01eE5612F8e8Fa5581F998ffFdE245b89adEEbDd,1,1,0.0,0.0,0.0,0.0
60,0x01f769A20c623F309303d8280FD75a3cb78A4Dd2,2,2,0.0,0.0,0.0,0.0
61,0x020171085bcd43b6FD36aD8C95aD61848B1211A2,4,3,0.0,0.0,0.0,0.0
62,0x0209a24e4e61e9249D899D2178ef137Aa780f85b,48,44,2.0,1.0,0.041666666666666664,0.022727272727272728
63,0x020BB206cd689d6981182579da490d5F4ceB4c46,5419,4138,21.0,9.0,0.003875253736851818,0.0021749637506041568
64,0x021530dAC7Ae7AF3a9748b63b09E1134fc479a81,2,2,0.0,0.0,0.0,0.0
65,0x021676b7891ab5b0eECe7949677e991AdF1d495E,1,1,0.0,0.0,0.0,0.0
66,0x0216eEf69CE03Ac91299eb039449A2BDDC6ee8f5,5,5,0.0,0.0,0.0,0.0
67,0x021Ca7D72f8afeAdf7b47300a1aECAc5F44C1AF1,31,27,4.0,2.0,0.12903225806451613,0.07407407407407407
68,0x021d36D7FF22FA10DaC9CcC72D6F83AF941d4f32,1,1,0.0,0.0,0.0,0.0
69,0x0233b93C5C38c7Ba7974a6aCBA85797359c7A6eB,33,32,0.0,0.0,0.0,0.0
70,0x023C66b7E13D30A3C46Aa433fd2829763d5817c5,2,2,0.0,0.0,0.0,0.0
71,0x023a4C057e769BEEdE7DFa20D4F39E5cD7413bC7,112,101,0.0,0.0,0.0,0.0
72,0x023ff2568A4Ad55C8a428986daC38588130409B7,4,4,0.0,0.0,0.0,0.0
73,0x02413C345233f06963cF86C642f5f41F3a189c16,5,5,0.0,0.0,0.0,0.0
74,0x0247C57D339a79EA2cA1139D79E4D06417Dd9979,10,8,2.0,1.0,0.2,0.125
75,0x024EA746e51e524425BBa578399C1583dBE7f75E,2,1,0.0,0.0,0.0,0.0
76,0x02509651f2cfB4637cE67e2420ba3f06060EF5e8,46,37,4.0,2.0,0.08695652173913043,0.05405405405405406
77,0x0254294703b01e75e1165F5D763aeaD76d7D487b,3,2,0.0,0.0,0.0,0.0
78,0x02560112988e2495261b8ff6f9daD64ee566a324,1035,623,12.0,6.0,0.011594202898550725,0.009630818619582664
79,0x025Dbd03ED18B4b8425af51b4d05F5b00E78208A,24,24,0.0,0.0,0.0,0.0
80,0x02681800F4121264045487813CB786b7DAE7A822,65,30,0.0,0.0,0.0,0.0
81,0x026A7D72a448D0E44d441e55F746BF56B843aEDB,2,2,0.0,0.0,0.0,0.0
82,0x027DB5D422A898E342bC0Af63Fba8C5Eeb437A8E,11,11,0.0,0.0,0.0,0.0
83,0x029e9bcd335cFBF5693E3E99C52301e304708F60,1,1,0.0,0.0,0.0,0.0
84,0x02A8904e3c0D99E138537922F28dd516380976c1,160,160,0.0,0.0,0.0,0.0
85,0x02AA731631c6D7F8241d74F906f5b51724Ab98F8,4051,3002,117.0,52.0,0.02888175759071834,0.017321785476349102
86,0x02D181D796255FB55784Df7Da7e366D276127750,254,191,3.0,1.0,0.011811023622047244,0.005235602094240838
87,0x02D91986F0C2B02830bDfC022f0dA83529B78334,14,14,0.0,0.0,0.0,0.0
88,0x02Dabd06E79AAa35b77B2E51c5123a0a97E769E3,49,43,0.0,0.0,0.0,0.0
89,0x02E97aAec3551dCC925145EF9163a3fC0262CF83,51,39,0.0,0.0,0.0,0.0
90,0x02F38388e5fc3df147Bd080766D5C6affBa831F8,84,81,3.0,1.0,0.03571428571428571,0.012345679012345678
91,0x02Fd03979D646cF1f9DebB218AeDF4b2908a9bFa,18,18,0.0,0.0,0.0,0.0
92,0x02a0BD956Dca5A6AE1aaC549D9892650d83e588f,1,1,0.0,0.0,0.0,0.0
93,0x02b38aF10213d7D9b42CfF604C2eD94404dd2B69,32,17,8.0,4.0,0.25,0.23529411764705882
94,0x02f03Ef74bF40D11B96Ce2961Cc2bB58630754Ba,48,32,8.0,4.0,0.16666666666666666,0.125
95,0x031920cc2D9F5c10B444FD44009cd64F829E7be2,6863,5076,49.0,23.0,0.00713973480984992,0.004531126871552403
96,0x0322b8fCc82f28aB412A24E0FEa6CC0ac80B6c0F,124,122,0.0,0.0,0.0,0.0
97,0x032321e31EA4436E1241F4B3739C43d51135cf2f,4,3,0.0,0.0,0.0,0.0
98,0x032Dd2A3c6d234AA9620d65eb618FCdC72Be3dBb,4654,3323,38.0,17.0,0.008165019338203695,0.00511585916340656
99,0x032EF0359EB068d3DddD6E91021c02F397AfcE5a,1,1,0.0,0.0,0.0,0.0
100,0x032dad5D1d9F3Fba88046B08C2676a0daf96B745,37,30,4.0,2.0,0.10810810810810811,0.06666666666666667
101,0x0337A552382dC9767BECd99bD5cAa11992F78E8d,26,24,0.0,0.0,0.0,0.0
102,0x03613D08B9a65e777164522c949bAf29eBDd574d,2,2,0.0,0.0,0.0,0.0
103,0x03Ce4a39Dd1146d052934836f73E2d7f82ab5Bba,583,396,8.0,4.0,0.0137221269296741,0.010101010101010102
104,0x03D1BBE96041d3e6e2bB7Da7137D2A59f7c56bf1,16,16,0.0,0.0,0.0,0.0
105,0x03E3Fbc3820C1d1487cd7B275Cc32C226caF5D18,36,28,6.0,3.0,0.16666666666666666,0.10714285714285714
106,0x03E617032E98CD20740db6982E2A74B7c9D88bCA,1,1,0.0,0.0,0.0,0.0
107,0x03Ea00B0619e19759eE7ba33E8EB8E914fbF52Ea,1955,1640,11.0,4.0,0.005626598465473146,0.0024390243902439024
108,0x03ad094A19Bc697D8E595b5E3D0CA637c8FA8591,31,29,2.0,1.0,0.06451612903225806,0.034482758620689655
109,0x03bFfcC430eFBF3cfE917200FEB869e657683C78,4,1,2.0,1.0,0.5,1.0
110,0x03c67746d9482ffeE0D48Cf03c56aD914687a31E,4,3,0.0,0.0,0.0,0.0
111,0x03f5CeE0d698c24A42A396EC6BDAEe014057d4c8,577,464,9.0,4.0,0.01559792027729636,0.008620689655172414
112,0x03f9Ae4aC3a7f5CCBf657f4EBdad58D3082F6ca9,1,1,0.0,0.0,0.0,0.0
113,0x03fF83E2c8996E29Db1D78C116926a369fFE83aB,17,16,0.0,0.0,0.0,0.0
114,0x04130fb295Fbb5DB927945Cb2670Dd81458F6fFc,18,5,9.0,3.0,0.5,0.6
115,0x0413e410e9eb0aF518f1F4dFef1912c3124c866E,2,2,0.0,0.0,0.0,0.0
116,0x0418639ccD844318FD05eA0dE312aC49E117765F,41,31,4.0,2.0,0.0975609756097561,0.06451612903225806
117,0x0427743DF720801825a5c82e0582B1E915E0F750,462,195,39.0,18.0,0.08441558441558442,0.09230769230769231
118,0x0429cA1e4C690f10606b8C85E4Dc6B7E54E9Ad30,6,6,0.0,0.0,0.0,0.0
119,0x042c7fCaF4f43E543031D34D59794379579C1bE3,2,2,0.0,0.0,0.0,0.0
120,0x043474a14F17Cf4F48Bd07b385c077C45FD6707E,830,653,0.0,0.0,0.0,0.0
121,0x043afA54CE8dD31915DF4e7678D213fCAb65051b,1,1,0.0,0.0,0.0,0.0
122,0x0458d5A7a3830A42d4d68fb36865f5cd4e9Cd488,3,2,0.0,0.0,0.0,0.0
123,0x046Dcc8496eBDCC8EDD52320c2dec62D6b7F29D1,1,1,0.0,0.0,0.0,0.0
124,0x049057f64Fe1C02897947EAFC04bf1860226Eb8d,16,11,8.0,3.0,0.5,0.2727272727272727
125,0x049178BB85Fb61Af7fE87CBfCC1C19471d10a01c,23,13,4.0,2.0,0.17391304347826086,0.15384615384615385
126,0x0492970fe6708f88b262D1b09B2a5A3C1eB44e4b,13,10,0.0,0.0,0.0,0.0
127,0x049aba7510f45BA5b64ea9E658E342F904DB358D,674,623,70.0,11.0,0.10385756676557864,0.01765650080256822
128,0x049e27Da519c529603Dd432e8cFb5C45B1CCE415,28,20,6.0,3.0,0.21428571428571427,0.15
129,0x04B7544f091Aa750B3E787299d9793E702DF653f,101,87,2.0,1.0,0.019801980198019802,0.011494252873563218
130,0x04C0567cdBB51c3a9B1C907a56A5edA0EdeeBf71,6,6,0.0,0.0,0.0,0.0
131,0x04C692341a71CBcA69113828487F182E4165EC24,1,1,0.0,0.0,0.0,0.0
132,0x04f20E4767ED1Bf7cb3D08385b9BFE8bC0726C70,2,1,2.0,1.0,1.0,1.0
